The Place...,...This Thing...,...Can Be Found Here (what3words + latitude & longitudes)
UK,The Birthplace of Adele (The Singer),"///event.jacket.tribune
51.605582, -0.068164
51°36.3349'N, 0°4.0898'W
51°36'20.0952""N, 0°4'5.3904""W"
UK,The Most Northern (& Original) Butlins Resort,"///name.pocketed.birthdays
53.180317, 0.350769
53°10.8190'N, 0°21.0461'E
53°10'49.1412""N, 0°21'2.7684""E"
UK,The (Official) Source of The River Thames,"///punctuate.gently.taster
51.694548, -2.029684
51°41.6729'N, 2°1.7810'W
51°41'40.3728""N, 2°1'46.8624""W"
UK,Porton Downs (Notorious Military Laboratory),"///keen.refutes.majors
51.124151, -1.715228
51°7.4491'N, 1°42.9137'W
51°7'26.9436""N, 1°42'54.8208""W"
UK,Margaret Thatcher was a MP for...,"///linen.united.button
51.597146, -0.197938
51°35.8288'N, 0°11.8763'W
51°35'49.7256""N, 0°11'52.5768""W"
UK,Boris Johnson is an MP (for the first time) for...,"///enlighten.bombard.recall
51.535751, -0.902901
51°32.1451'N, 0°54.1741'W
51°32'8.7036""N, 0°54'10.4436""W"
UK,The School From Netflix's Sex Education,"///storms.body.fades
51.610271, -2.956272
51°36.6163'N, 2°57.3763'W
51°36'36.9756""N, 2°57'22.5792""W"
