"117. Bad Girls, Jacqueline Wilson","167. Girls Out Late, Jacqueline Wilson"
"118. The Picture Of Dorian Gray, Oscar Wilde","168. The Far Pavilions, M. M. Kaye"
"119. Shogun, James Clavell","169. The Witches, Roald Dahl"
"120. The Day Of The Triffids, John Wyndham","170. Charlotte's Web, E. B. White"
"121. Lola Rose, Jacqueline Wilson","171. Frankenstein, Mary Shelley"
"122. Vanity Fair, William Makepeace Thackeray","172. They Used To Play On Grass, Terry Venables and Gordon Williams"
"123. The Forsyte Saga, John Galsworthy","173. The Old Man And The Sea, Ernest Hemingway"
"124. House Of Leaves, Mark Z. Danielewski","174. The Name Of The Rose, Umberto Eco"
"125. The Poisonwood Bible, Barbara Kingsolver","175. Sophie's World, Jostein Gaarder"
"126. Reaper Man, Terry Pratchett","176. Dustbin Baby, Jacqueline Wilson"
"127. Angus, Thongs And Full-Frontal Snogging, Louise Rennison","177. Fantastic Mr Fox, Roald Dahl"
"128. The Hound Of The Baskervilles, Arthur Conan Doyle","178. Lolita, Vladimir Nabokov"
"129. Possession, A. S. Byatt","179. Jonathan Livingstone Seagull, Richard Bach"
"130. The Master And Margarita, Mikhail Bulgakov","180. The Little Prince, Antoine De Saint-Exupery"
"131. The Handmaid's Tale, Margaret Atwood","181. The Suitcase Kid, Jacqueline Wilson"
"132. Danny The Champion Of The World, Roald Dahl","182. Oliver Twist, Charles Dickens"
"133. East Of Eden, John Steinbeck","183. The Power Of One, Bryce Courtenay"
"134. George's Marvellous Medicine, Roald Dahl","184. Silas Marner, George Eliot"
"135. Wyrd Sisters, Terry Pratchett","185. American Psycho, Bret Easton Ellis"
"136. The Color Purple, Alice Walker","186. The Diary Of A Nobody, George and Weedon Grossmith"
"137. Hogfather, Terry Pratchett","187. Trainspotting, Irvine Welsh"
"138. The Thirty-Nine Steps, John Buchan","188. Goosebumps, R. L. Stine"
"139. Girls In Tears, Jacqueline Wilson","189. Heidi, Johanna Spyri"
"140. Sleepovers, Jacqueline Wilson","190. Sons And Lovers, D. H. LawrenceLife of Lawrence"
"141. All Quiet On The Western Front, Erich Maria Remarque","191. The Unbearable Lightness of Being, Milan Kundera"
"142. Behind The Scenes At The Museum, Kate Atkinson","192. Man And Boy, Tony Parsons"
"143. High Fidelity, Nick Hornby","193. The Truth, Terry Pratchett"
"144. It, Stephen King","194. The War Of The Worlds, H. G. Wells"
"145. James And The Giant Peach, Roald Dahl","195. The Horse Whisperer, Nicholas Evans"
"146. The Green Mile, Stephen King","196. A Fine Balance, Rohinton Mistry"
"147. Papillon, Henri Charriere","197. Witches Abroad, Terry Pratchett"
"148. Men At Arms, Terry Pratchett","198. The Once And Future King, T. H. White"
"149. Master And Commander, Patrick O'Brian","199. The Very Hungry Caterpillar, Eric Carle"
"150. Skeleton Key, Anthony Horowitz ","200. Flowers In The Attic, Virginia Andrews  "
Source: https://www.bbc.co.uk/arts/bigread/ (Archived and you may need a zoom function),
